Date,ET,NDVI,PET,Kc_Observed
2023-01-01,10,0.22665056360708535,572,0.01748251748251748
2023-01-09,9,0.2665659399956831,561,0.016042780748663103
2023-01-17,5,0.22912743251726303,590,0.00847457627118644
2023-01-25,11,0.2405169696332878,561,0.0196078431372549
2023-02-02,6,0.2408263953129818,561,0.010695187165775402
2023-02-10,20,0.20714564623194065,648,0.0308641975308642
2023-02-18,18,0.1875,639,0.02816901408450704
2023-02-26,41,0.18683356513676402,587,0.06984667802385008
2023-03-06,28,0.1946360153256705,541,0.051756007393715345
2023-03-14,51,0.18998783243525116,590,0.0864406779661017
2023-04-07,51,0.1986970684039088,593,0.08600337268128162
2023-04-23,54,0.3278803458752045,542,0.0996309963099631
2023-10-24,55,0.5536319156943922,571,0.09632224168126094
2023-12-03,19,0.24788696858836887,537,0.035381750465549346
2023-12-11,7,0.23226403454657618,586,0.011945392491467578
2023-12-19,1,0.19068056407112202,586,0.0017064846416382253
2023-12-27,3,0.21768910065515187,361,0.008310249307479225
2024-01-01,6,0.20783085356303838,567,0.010582010582010583
2024-01-09,2,0.1794224396402083,596,0.003355704697986577
2024-01-17,4,0.21392190152801357,618,0.006472491909385114
2024-01-25,0,0.18867924528301888,657,0.0
2024-02-02,0,0.1966070183592842,639,0.0
2024-02-10,10,0.16895958727429064,642,0.01557632398753894
2024-02-18,10,0.1826396843578974,636,0.015723270440251572
2024-03-05,18,0.17123617123617124,625,0.0288
2024-03-13,13,0.14824178349804643,634,0.020504731861198736
2024-03-21,30,0.17410763017137867,603,0.04975124378109452
2024-03-29,39,0.1746649373108517,580,0.06724137931034484
2024-04-30,66,0.19064327485380117,632,0.10443037974683544
2024-05-08,175,0.19064327485380117,540,0.32407407407407407
2024-05-24,242,0.6618789733929833,484,0.5
2024-10-23,227,0.6089385474860335,536,0.4235074626865672
2024-10-31,168,0.7265898848272409,511,0.3287671232876712
2024-11-08,137,0.7025300281114235,564,0.2429078014184397
2024-11-16,128,0.44518184231483937,545,0.23486238532110093
2024-11-24,38,0.4280753305729932,550,0.06909090909090909
2024-12-02,38,0.3361430395913155,558,0.06810035842293907
2024-12-10,22,0.340393343419062,524,0.04198473282442748
2024-12-18,36,0.2679644316270127,524,0.06870229007633587
2024-12-26,9,0.2831743789002708,444,0.020270270270270268
